name,latitude,longitude,subcategories/0,numberOfRooms,hotelClass,num_amenities,ceilhotelClass,energy_consumption,usable_area,cluster,color,area_to_energy_ratio,carbon_emission,efficiency
Yaks House,13.767601,100.48523,Bed and Breakfast,26.0,2.5,53,3.0,92,858,1,High Efficiency,9.33,78.94,9.33
Norn Yaowarat Hostel,13.740962,100.51109,Specialty Lodging,25.0,3.0,29,3.0,71,784,1,High Efficiency,11.04,55.66,11.04
Good Day Hostel,13.752258,100.537025,Specialty Lodging,6.0,2.0,21,2.0,26,176,1,High Efficiency,6.77,4.58,6.77
The Sibling Hostel,13.723069,100.52309,Specialty Lodging,5.0,0.0,17,0.0,20,112,1,High Efficiency,5.6,2.24,5.6
Khaosan Art Hotel,13.762323,100.49393,Specialty Lodging,104.0,2.0,28,2.0,234,3035,2,Low Efficiency,12.97,710.19,12.97
MovyLodge Hostel,13.753117,100.532585,Specialty Lodging,28.0,2.0,24,2.0,69,741,1,High Efficiency,10.74,51.13,10.74
Focal Local Bed and Breakfast,13.715818,100.50175,Bed and Breakfast,9.0,2.0,24,2.0,32,285,1,High Efficiency,8.91,9.12,8.91
MEET Green Apartment,13.843653,100.64567,Specialty Lodging,6.0,3.0,35,3.0,31,199,1,High Efficiency,6.42,6.17,6.42
Niras Bankoc Cultural Hostel,13.752328,100.50449,Specialty Lodging,10.0,2.0,16,2.0,29,306,1,High Efficiency,10.55,8.87,10.55
Bed One Block Hostel,13.75249,100.53126,Specialty Lodging,36.0,2.0,24,2.0,88,993,1,High Efficiency,11.28,87.38,11.28
Issara by D Hostel,13.74858,100.49797,Specialty Lodging,20.0,2.0,24,2.0,55,570,1,High Efficiency,10.36,31.35,10.36
Baan Glang Soi,13.719203,100.51712,Specialty Lodging,10.0,2.0,32,2.0,38,275,1,High Efficiency,7.24,10.45,7.24
Petals Inn,13.738769,100.55306,Bed and Breakfast,28.0,3.0,34,3.0,86,895,1,High Efficiency,10.41,76.97,10.41
